Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,H2-1-12
A,8,MCP,E2-1-3
A,9,MCP,W2-1-6
A,10,MCP,X2-1-11
A,11,MCP,R2-1-2
A,12,MCP,P2-1-15
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,H2-1-12
B,8,MCP,E2-1-3
B,9,MCP,W2-1-6
B,10,MCP,X2-1-11
B,11,MCP,R2-1-2
B,12,MCP,P2-1-15
C,1,MCP,O2-1-3
C,2,MCP,Q2-1-24
C,3,MCP,E2-1-27
C,4,MCP,K2-1-4
C,5,MCP,I2-1-27
C,6,MCP,E2-1-4
C,7,MCP,J2-1-20
C,8,MCP,S2-1-27
C,9,MCP,AA2-1-1
C,10,MCP,B2-1-3
C,11,MCP,J2-1-12
C,12,MCP,X2-1-26
D,1,MCP,O2-1-3
D,2,MCP,Q2-1-24
D,3,MCP,E2-1-27
D,4,MCP,K2-1-4
D,5,MCP,I2-1-27
D,6,MCP,E2-1-4
D,7,MCP,J2-1-20
D,8,MCP,S2-1-27
D,9,MCP,AA2-1-1
D,10,MCP,B2-1-3
D,11,MCP,J2-1-12
D,12,MCP,X2-1-26
E,1,MCP,I2-1-1
E,2,MCP,V2-1-12
E,3,MCP,Y2-1-20
E,4,MCP,Y2-1-27
E,5,MCP,H2-1-10
E,6,MCP,BB2-1-1
E,7,MCP,E2-1-1
E,8,MCP,S2-1-28
E,9,MCP,CC2-1-15
E,10,MCP,I2-1-28
E,11,MCP,Q2-1-15
E,12,MCP,AA2-1-2
F,1,MCP,I2-1-1
F,2,MCP,V2-1-12
F,3,MCP,Y2-1-20
F,4,MCP,Y2-1-27
F,5,MCP,H2-1-10
F,6,MCP,BB2-1-1
F,7,MCP,E2-1-1
F,8,MCP,S2-1-28
F,9,MCP,CC2-1-15
F,10,MCP,I2-1-28
F,11,MCP,Q2-1-15
F,12,MCP,AA2-1-2
G,1,MCP,S2-1-18
G,2,MCP,H2-1-7
G,3,MCP,I2-1-4
G,4,MCP,Q2-1-20
G,5,MCP,CC2-1-14
G,6,MCP,B2-1-9
G,7,MCP,U2-1-28
G,8,MCP,U2-1-26
G,9,MCP,T2-1-4
G,10,MCP,P2-1-1
G,11,MCP,N2-1-3
G,12,MCP,V2-1-17
H,1,MCP,S2-1-18
H,2,MCP,H2-1-7
H,3,MCP,I2-1-4
H,4,MCP,Q2-1-20
H,5,MCP,CC2-1-14
H,6,MCP,B2-1-9
H,7,MCP,U2-1-28
H,8,MCP,U2-1-26
H,9,MCP,T2-1-4
H,10,MCP,P2-1-1
H,11,MCP,N2-1-3
H,12,MCP,V2-1-17